expr-interpreter - recursive descent over arithmetic.

  1 + 2                          = 3
  3 + 4 * 5                      = 23
  (3 + 4) * 5                    = 35
  100 - 6 * 7                    = 58
  - 8                            = -8
  -3 + -4                        = -7
  2 * (3 + 4) - 1                = 13
  1000 / (10 - 5)                = 200
  48 / 6 / 2                     = 4
  8 / 0                          ! division by zero
  1 +                            ! unexpected end of input
  3 + (4 * 2                     ! unexpected token near token 7
  @                              ! unexpected character at byte 0
